Technical;E&ECE;;Technical;E&ECE;;Technical;E&ECE;
Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;
Technical;Electronics and Electrical Communication Engineering;;Technical;Electronics and Electrical Communication Engineering;;Technical;Electronics and Electrical Communication Engineering;
Technical;MATHEMATICS;;Technical;MATHEMATICS;;Technical;MATHEMATICS;
Technical;Mining;;Technical;Mining;;Technical;Mining;
Technical;Biotechnology: Any;;Technical;Biotechnology: Any;;Technical;Chemical Engineering: Environmental Engineering;
Technical;Chemistry: Any;;Technical;Chemistry: Any;;Technical;Chemistry: Polymer Chemistry;
Technical;Geological Sciences: Ore Petrology;;Technical;Energy Science and Engineering: Geomagnetism and general Geophysics;;Non-Technical;Any;
Technical;Mechanical Engineering: Manufacturing Processes and Systems;;Technical;Mechanical Engineering: Manufacturing Processes and Systems;;Technical;Industrial Engineering Operations Research: Optimization, Planning and Control i;
Technical;mechanical;;Technical;mechanical;;Technical;mechanical;
Technical;No Specific area of interest: Any;;Non-Technical;Any;;Non-Technical;Any;
Technical;Industrial Engineering and Management: Product Design;;Technical;Mechanical Engineering: Manufacturing Processes and Systems;;Technical;Mathematics: Differential Equations;
Non-Technical;Banking Finance;;Non-Technical;Banking Finance;;Non-Technical;Banking Finance;
Technical;mechanical engineering;;Technical;mechanical engineering;;Technical;mechanical engineering;
Non-Technical;International Business;;Technical;Industrial Engineering Operations Research: Financial Engineering;;Non-Technical;Business Administration;
Technical;e & ece;;Technical;e & ece;;Technical;e & ece;
Technical;Mechanical;;Technical;Mechanical;;Technical;Mechanical;
Technical;Biotechnology: Any;;Technical;Biotechnology: Any;;Non-Technical;Any;
Technical;No Specific area of interest: Any;;Technical;Computer Science and Engineering: Any;;Non-Technical;Enterpreneurship;
Technical;Electrical Engineering;;Technical;Electrical Engineering;;Technical;Electrical Engineering;
Technical;Mathematics: Any;;Technical;Mathematics: Any;;Technical;Mathematics: Statistics;
Non-Technical;Enterpreneurship;;Non-Technical;Enterpreneurship;;Non-Technical;Business Administration;
Non-Technical;Mechanical Engineering: Manufacturing Processes and Systems;;Non-Technical;Consulting;;Technical;Mechanical Engineering: Any;
Technical;mechanical engineering;;Technical;mechanical engineering;;Technical;mechanical engineering;
Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Non-Technical;Any;
Technical;GEOLOGY AND GEOPHYSICS;;Technical;GEOLOGY AND GEOPHYSICS;;Technical;GEOLOGY AND GEOPHYSICS;
Technical;civil engineering;;Technical;civil engineering;;Technical;civil engineering;
Non-Technical;Any;;Technical;Humanities and Social Sciences: Any;;Non-Technical;Any;
Technical;Geological Sciences: Any;;Technical;Geological Sciences: Any;;Technical;Geological Sciences: Any;
Technical;No Specific area of interest: Any;;Non-Technical;Any;;Technical;No Specific area of interest: Any;
Technical;Mechanical Engineering: Fluid Mechanics, CFD;;Technical;Aerospace Engineering: Integrated Modeling and Simulation;;Technical;Aerospace Engineering: Aerodynamics;
Technical;instrumentation;;Technical;instrumentation;;Technical;instrumentation;
Technical;No Specific area of interest: Any;;Non-Technical;Business Administration;;Technical;No Specific area of interest: Any;
Technical;Mathematics: Any;;Technical;Mathematics: Any;;Technical;Mathematics: Any;
Technical;Civil Engineering: Any;;Technical;Civil Engineering: Any;;Technical;Civil Engineering: Any;
Technical;Biotechnology: Any;;Technical;Biotechnology: Any;;Technical;Biotechnology: Any;
